;movie_title;title_year;language;country;Couleur;duration;budget;genres;cast_total_facebook_likes;movie_facebook_likes;imdb_score;movie_imdb_link;action;adventure;animation;biography;comedy;crime;documentary;drama;family;fantasy;film-noir;game-show;history;horror;music;musical;mystery;news;reality-tv;romance;sci-fi;short;sport;thriller;war;western;english;french;australia;canada;france;germany;uk;usa; black and white;color
0;Avatar ;2009.0;English;USA;Color;178.0;237000000.0;Action|Adventure|Fantasy|Sci-Fi;4834.0;33000.0;7.9;http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1;Pirates of the Caribbean: At World's End ;2007.0;English;USA;Color;169.0;300000000.0;Action|Adventure|Fantasy;48350.0;0.0;7.1;http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
2;Spectre ;2015.0;English;UK;Color;148.0;245000000.0;Action|Adventure|Thriller;11700.0;85000.0;6.8;http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
3;The Dark Knight Rises ;2012.0;English;USA;Color;164.0;250000000.0;Action|Thriller;106759.0;164000.0;8.5;http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
4;John Carter ;2012.0;English;USA;Color;132.0;263700000.0;Action|Adventure|Sci-Fi;1873.0;24000.0;6.6;http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
5;Spider-Man 3 ;2007.0;English;USA;Color;156.0;258000000.0;Action|Adventure|Romance;46055.0;0.0;6.2;http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
6;Tangled ;2010.0;English;USA;Color;100.0;260000000.0;Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance;2036.0;29000.0;7.8;http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
7;Avengers: Age of Ultron ;2015.0;English;USA;Color;141.0;250000000.0;Action|Adventure|Sci-Fi;92000.0;118000.0;7.5;http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
8;Harry Potter and the Half-Blood Prince ;2009.0;English;UK;Color;153.0;250000000.0;Adventure|Family|Fantasy|Mystery;58753.0;10000.0;7.5;http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
9;Batman v Superman: Dawn of Justice ;2016.0;English;USA;Color;183.0;250000000.0;Action|Adventure|Sci-Fi;24450.0;197000.0;6.9;http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
